15,12227.9645,11903.9331,-5872.8446,72,
17,12239.3268,11902.4669,-5868.4784,75,
9,12265.1271,11856.7194,-5824.4432,92,
14,12248.8215,11916.2312,-5876.5748,74,
11,12276.0622,11863.5082,-5826.5616,93,
12,12224.9754,11905.2333,-5874.6992,71,
19,12242.524,11909.9337,-5873.4261,74,
3,12670.4783,12342.1641,-6090.7523,73,
20,12416.9168,11967.3714,-5866.8467,102,
11,12276.0639,11863.5099,-5826.5625,93,
19,12242.524,11909.9337,-5873.4261,74,
11,12276.0918,11863.5378,-5826.5765,93,
11,12263.3676,11859.1131,-5826.9126,91,
3,12670.48,12342.1658,-6090.7532,73,
2,13189.6421,12861.328,-6350.3343,73,
18,12234.2881,11897.4282,-5865.959,75,
3,12670.4717,12342.1575,-6090.7491,73,
10,12231.2376,11907.2062,-5874.4812,72,
4,12290.5717,11962.2576,-5900.7991,73,
3,12670.4727,12342.1586,-6090.7496,73,
