6,12096.3344,11830.1528,-5848.1855,61,
5,12174.0061,11887.1426,-5870.6294,66,
16,12117.1041,11842.627,-5852.0135,63,
13,12121.9647,11830.9876,-5841.3303,67,
7,12111.4381,11832.8246,-5845.9021,64,
15,12162.8701,11867.7872,-5858.5046,68,
20,12163.3055,11860.034,-5852.1655,70,
6,12122.0556,11839.3133,-5847.9325,65,
12,12341.651,11904.2068,-5829.873,104,
14,12158.4223,11859.2412,-5853.0023,69,
3,12482.4732,12199.7309,-6028.1413,65,
3,12482.4677,12199.7254,-6028.1386,65,
10,12083.5599,11834.0588,-5854.9118,57,
15,12221.9324,11894.2839,-5861.8086,76,
16,12151.2946,11852.1135,-5849.4384,69,
8,12070.9148,11817.2325,-5845.3108,58,
19,12406.1683,11957.3716,-5852.2965,107,
2,12993.9035,12736.0474,-6303.5268,59,
16,12155.2108,11856.0297,-5851.3965,69,
9,12100.9111,11826.4341,-5843.9171,63,
