15,7235.45,7027.1557,-3445.0809,58,
19,7236.5573,7015.7171,-3433.7281,62,
13,7218.0931,7012.9785,-3439.3791,57,
6,7253.2125,7048.0978,-3456.9388,57,
10,7220.6707,7012.3764,-3437.6913,58,
18,7342.823,7066.4519,-3430.3052,81,
10,7214.7725,7012.8543,-3440.6954,56,
15,7241.1709,7026.5689,-3441.9882,60,
10,7220.6653,7012.371,-3437.6886,58,
17,7244.0621,7026.3322,-3440.4571,61,
12,7230.9349,7025.8202,-3445.8,57,
19,7235.7076,7014.8673,-3433.3032,62,
9,7243.3033,7035.009,-3449.0076,58,
18,7354.7138,7072.9202,-3430.2973,83,
8,7229.1321,7024.0174,-3444.8986,57,
12,7236.5924,7025.1357,-3442.6755,59,
16,7225.5058,7007.7759,-3431.179,61,
13,7223.5922,7012.1354,-3436.1754,59,
13,7224.0803,7012.6236,-3436.4195,59,
16,7225.4911,7007.7612,-3431.1716,61,
