20,8374.1606,8122.2194,-3992.8506,61,
12,8563.446,8196.4952,-3988.7864,92,
20,8368.7317,8112.9272,-3986.9521,62,
20,8347.8372,8103.6514,-3986.0571,59,
10,8443.7496,8149.8519,-3992.6201,72,
5,8373.1317,8148.4996,-4014.6248,54,
11,8443.7562,8149.8585,-3992.6234,72,
18,8457.8079,8145.2436,-3983.7287,77,
20,8356.0754,8108.0071,-3986.9921,60,
18,8522.5396,8173.4407,-3984.2537,87,
6,8411.2095,8163.1413,-4014.5591,60,
18,8561.3991,8190.9123,-3984.5789,93,
8,8361.1202,8132.5587,-4005.435,55,
11,8443.7804,8149.8827,-3992.6355,72,
3,8547.8742,8299.806,-4082.8915,60,
19,8360.0885,8112.0203,-3988.9987,60,
15,8329.7197,8101.1582,-3989.7347,55,
3,8625.2809,8331.3832,-4083.3857,72,
3,8625.3187,8331.421,-4083.4046,72,
14,8422.5362,8139.9617,-3991.5657,69,
